,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
401,28,male,2,own,,moderate,1887,18,business,good
625,35,male,2,own,,,1979,15,radio/TV,good
167,20,female,2,own,rich,moderate,1577,11,furniture/equipment,good
548,24,female,1,own,little,little,626,12,radio/TV,bad
924,55,male,2,own,little,little,6872,24,furniture/equipment,bad
409,28,male,2,own,quite rich,rich,939,12,car,bad
362,36,female,2,own,little,rich,2247,12,car,good
833,42,female,2,own,,moderate,5084,24,radio/TV,good
176,42,male,2,own,little,little,2577,12,furniture/equipment,good
687,30,male,2,free,moderate,moderate,2862,36,car,good
350,23,female,2,rent,little,,1236,9,domestic appliances,good
691,25,female,1,own,moderate,moderate,2631,15,repairs,good
786,40,male,2,own,quite rich,,2675,22,radio/TV,good
667,27,female,2,own,little,,3609,48,business,good
341,26,female,1,rent,little,little,3599,21,furniture/equipment,good
250,39,female,1,own,rich,little,666,6,car,good
338,28,male,2,own,little,little,4169,24,furniture/equipment,good
770,26,female,2,rent,,little,2812,24,car,good
314,29,male,1,own,,rich,1494,4,car,good
382,25,female,2,rent,,,1283,22,car,good
194,21,male,2,rent,moderate,moderate,3031,45,radio/TV,bad
710,32,male,3,own,quite rich,,629,18,radio/TV,good
542,31,male,2,own,,little,6350,30,furniture/equipment,bad
614,22,female,2,own,little,,1808,18,furniture/equipment,bad
497,40,male,2,own,little,,1585,24,furniture/equipment,good
927,39,male,2,free,little,little,10297,48,car,bad
38,37,male,2,own,little,rich,1225,10,domestic appliances,good
378,57,male,3,free,little,moderate,14318,36,car,bad
110,31,male,2,own,moderate,moderate,1449,6,business,good
280,23,male,2,rent,rich,,3368,15,car,good
79,22,male,2,own,little,moderate,3832,30,furniture/equipment,good
450,30,male,3,own,,,11054,36,car,good
811,28,male,1,own,little,moderate,484,6,radio/TV,good
248,26,male,2,own,little,rich,1925,24,furniture/equipment,good
168,25,female,2,rent,little,,3972,24,furniture/equipment,good
247,35,male,2,rent,moderate,,1204,6,car,good
104,26,male,2,rent,,,2445,12,car,good
238,35,female,2,own,little,,1291,12,radio/TV,good
877,28,male,2,own,little,,3595,36,radio/TV,good
809,26,female,0,rent,little,moderate,1778,15,car,bad
982,28,female,3,own,moderate,rich,2923,21,car,good
32,30,male,2,own,moderate,moderate,5866,18,car,good
677,24,male,2,own,moderate,moderate,5595,72,radio/TV,bad
821,24,male,2,own,little,rich,3016,12,radio/TV,good
101,24,male,2,rent,little,moderate,2323,36,radio/TV,good
234,42,male,1,own,little,,1544,4,radio/TV,good
999,27,male,2,own,moderate,moderate,4576,45,car,good
563,37,male,2,free,,moderate,12389,36,car,bad
990,37,male,1,own,,,3565,12,education,good
680,56,female,2,own,little,,1538,6,education,good
291,28,male,3,rent,little,moderate,9398,36,car,bad
854,45,male,2,own,little,,10875,36,car,good
278,32,female,2,own,little,,4611,6,furniture/equipment,bad
979,25,male,2,rent,moderate,moderate,1264,15,car,bad
956,49,male,1,own,,rich,3656,30,radio/TV,good
984,30,male,1,own,little,,2028,24,furniture/equipment,good
736,23,female,3,rent,little,moderate,11560,24,car,bad
375,37,female,2,rent,little,little,7685,48,business,bad
585,20,female,2,rent,little,little,2039,18,furniture/equipment,bad
762,24,male,1,own,little,little,2214,12,radio/TV,good
371,33,male,2,own,little,,6070,18,radio/TV,good
695,50,male,2,rent,quite rich,,1236,6,car,good
629,64,male,1,own,,,3832,9,education,good
25,36,male,1,own,little,little,1374,6,furniture/equipment,good
14,28,female,2,rent,little,little,1403,15,car,good
229,22,male,2,free,little,little,3149,24,furniture/equipment,good
60,27,male,2,own,little,moderate,1391,9,business,good
668,43,male,2,rent,little,little,4843,12,car,bad
492,27,female,2,own,moderate,,1237,6,radio/TV,good
930,24,male,1,own,little,little,1747,24,furniture/equipment,good
966,23,male,1,own,quite rich,moderate,2520,27,radio/TV,bad
173,33,male,2,own,little,moderate,1414,8,radio/TV,good
433,33,male,2,own,little,,2058,24,repairs,good
565,23,female,2,rent,moderate,moderate,1553,24,radio/TV,good
63,25,male,2,own,little,moderate,14421,48,business,bad
600,45,female,2,own,little,moderate,2329,7,radio/TV,good
180,28,male,2,own,little,,9572,36,business,bad
717,32,male,3,free,little,,1505,18,radio/TV,good
249,22,female,2,rent,little,,433,18,radio/TV,bad
358,28,male,2,own,little,,776,12,radio/TV,good
128,34,male,3,own,little,moderate,1860,12,car,good
418,31,female,3,own,quite rich,,2782,21,car,good
359,23,female,2,rent,little,little,2406,30,furniture/equipment,bad
638,34,female,2,own,little,,1493,12,radio/TV,good
201,27,male,1,own,little,little,1168,12,car,good
724,21,female,2,rent,little,,2570,27,car,bad
800,54,male,2,free,little,,1597,24,education,good
451,29,female,2,own,little,,518,6,radio/TV,good
651,37,male,1,own,little,moderate,1922,12,furniture/equipment,bad
577,33,female,2,own,,,1927,24,education,good
334,23,male,2,rent,little,little,4110,24,furniture/equipment,bad
87,47,male,2,free,moderate,moderate,12612,36,education,bad
812,24,male,2,own,little,little,9629,36,car,bad
938,42,male,2,free,little,moderate,6288,60,education,bad
572,26,female,3,rent,,,5433,24,car,good
455,29,female,3,own,little,,2679,24,car,good
562,29,female,2,own,little,rich,683,6,radio/TV,good
822,41,male,2,own,little,little,2712,36,furniture/equipment,bad
804,24,female,0,rent,,moderate,7472,12,car,good
276,26,female,2,own,little,,2404,18,radio/TV,good
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,good
601,30,female,2,own,little,moderate,918,9,furniture/equipment,bad
353,28,male,2,rent,little,little,6199,12,radio/TV,bad
471,23,female,2,own,little,little,448,6,education,bad
28,34,male,2,own,little,moderate,2415,7,radio/TV,good
67,22,male,2,own,rich,moderate,1007,12,car,good
685,34,male,2,free,,,6527,60,car,good
513,20,male,2,rent,little,moderate,585,12,radio/TV,good
65,48,male,2,own,,,5190,27,repairs,good
297,45,male,1,own,,,1287,10,car,good
36,31,male,2,free,little,,6110,48,education,good
274,34,male,1,own,little,little,11998,30,repairs,bad
472,28,male,1,own,little,little,654,9,car,bad
962,29,male,2,own,,,3556,15,car,good
834,25,female,1,own,little,rich,2327,15,radio/TV,bad
775,25,female,2,rent,,little,1371,24,car,bad
898,33,female,1,rent,,,2186,15,furniture/equipment,good
989,48,male,1,own,little,moderate,1743,24,radio/TV,good
824,35,male,3,own,little,,3780,18,furniture/equipment,good
460,37,male,2,own,little,little,3620,36,furniture/equipment,good
560,49,male,2,free,,little,2964,24,car,good
817,24,female,2,rent,little,,1554,6,radio/TV,good
895,31,male,3,own,,,8947,36,car,good
732,44,female,1,own,little,moderate,760,8,radio/TV,good
480,23,female,1,own,little,moderate,3573,12,radio/TV,good
915,32,female,3,own,little,moderate,18424,48,vacation/others,bad
993,30,male,3,own,little,little,3959,36,furniture/equipment,good
612,29,female,2,own,rich,little,3357,21,radio/TV,good
520,44,male,2,free,little,,5507,24,repairs,good
705,35,female,2,free,quite rich,,5324,15,car,good
410,20,female,2,own,little,moderate,1967,24,radio/TV,good
337,24,female,2,rent,,little,1275,15,domestic appliances,bad
75,66,male,3,free,little,little,1526,12,car,good
493,38,male,2,own,,moderate,368,6,radio/TV,good
495,20,male,2,own,,little,2996,24,furniture/equipment,bad
448,55,female,3,own,,rich,1424,12,furniture/equipment,good
880,38,male,3,own,little,,7814,24,car,good
443,41,male,1,own,little,,719,12,education,bad
13,60,male,1,own,little,little,1199,24,car,bad
296,20,female,2,rent,,,4675,12,car,good
995,31,female,1,own,little,,1736,12,furniture/equipment,good
509,45,male,3,own,moderate,,8588,39,car,good
807,65,male,2,own,,,930,12,radio/TV,good
205,38,male,3,free,little,little,10623,30,car,good
300,54,female,0,own,little,,672,6,car,good
533,26,male,2,own,moderate,,1311,24,radio/TV,good
963,35,male,2,own,quite rich,,2397,24,radio/TV,bad
435,25,male,2,own,,moderate,1484,12,radio/TV,bad
223,32,male,2,own,,,2978,24,business,good
881,48,male,2,free,,,9277,24,car,good
583,33,male,1,rent,little,moderate,2384,36,repairs,bad
246,52,male,2,own,little,,717,12,radio/TV,good
903,40,male,2,rent,,,1386,15,radio/TV,good
997,38,male,2,own,little,,804,12,radio/TV,good
394,31,male,3,own,little,,2406,9,furniture/equipment,good
781,60,male,2,own,rich,,1940,24,car,good
244,35,female,1,own,quite rich,,3447,12,education,good
256,35,male,1,own,little,,2684,24,radio/TV,good
365,36,male,2,own,little,,1542,12,business,good
98,36,male,2,own,little,moderate,2337,36,radio/TV,good
679,26,female,2,own,little,,1453,18,radio/TV,good
442,29,male,2,own,little,moderate,2629,20,vacation/others,good
23,44,male,2,own,moderate,moderate,1804,12,car,good
122,24,male,1,rent,little,,1768,12,furniture/equipment,good
18,44,female,3,free,little,moderate,12579,24,car,bad
537,37,female,2,own,little,moderate,3612,18,furniture/equipment,good
440,39,male,3,own,little,,1884,12,car,good
567,34,male,2,own,rich,,2578,24,radio/TV,good
367,22,female,2,rent,little,little,3650,18,furniture/equipment,good
830,44,male,2,own,quite rich,,2375,24,business,good
220,26,male,1,own,little,moderate,625,12,radio/TV,good
68,37,male,2,free,little,,1819,36,education,bad
411,35,male,3,own,little,,7253,33,car,good
146,39,female,2,own,little,little,860,6,car,good
452,34,male,2,own,little,,2759,12,furniture/equipment,good
76,34,male,2,own,little,little,3965,42,radio/TV,bad
704,32,female,2,own,little,moderate,2528,27,business,good
62,61,male,3,free,little,moderate,1953,36,business,bad
739,26,female,1,rent,moderate,moderate,4280,30,business,bad
988,29,male,3,free,little,little,6579,24,car,good
931,22,female,2,own,little,moderate,1670,9,radio/TV,bad
798,54,male,2,own,,,717,24,car,good
177,52,male,2,own,quite rich,little,338,6,radio/TV,good
500,27,female,2,own,little,little,3123,24,car,bad
275,32,male,2,own,little,,2697,9,radio/TV,good
522,53,male,2,free,little,little,7119,48,furniture/equipment,bad
748,26,male,2,own,,,5248,21,car,good
8,61,male,1,own,rich,,3059,12,radio/TV,good
829,38,male,2,free,,moderate,6681,48,business,good
490,26,male,2,own,little,,1934,12,radio/TV,good
891,46,male,2,own,little,,1829,15,radio/TV,good
561,24,male,1,rent,little,little,1546,24,radio/TV,bad
886,34,male,2,own,,moderate,2825,24,business,good
541,60,male,2,free,little,,2032,24,car,good
441,30,female,2,own,little,little,1620,12,furniture/equipment,good
703,41,male,2,own,moderate,moderate,2503,30,business,good
913,28,male,2,own,rich,,2142,11,business,good
85,29,female,3,own,little,,1412,12,business,good
141,30,female,3,own,little,moderate,4795,36,radio/TV,good
674,41,male,1,own,quite rich,,2580,21,business,bad
785,35,male,1,own,rich,moderate,1941,18,business,good
72,51,male,3,free,little,little,1164,8,vacation/others,good
957,37,male,1,own,little,moderate,1154,9,radio/TV,good
121,41,female,3,rent,little,,3868,24,car,good
644,32,male,3,own,little,little,1880,18,radio/TV,good
46,39,male,2,own,quite rich,,2299,36,radio/TV,good
684,31,male,1,own,moderate,moderate,9857,36,business,good
607,50,female,2,free,moderate,moderate,2671,36,radio/TV,bad
568,41,male,2,own,,moderate,3979,48,radio/TV,good
458,27,female,2,own,little,little,343,6,domestic appliances,good
592,36,female,1,own,rich,,1572,21,business,good
327,34,female,2,own,rich,,1525,24,car,good
142,27,male,3,own,little,little,3416,27,radio/TV,good
485,47,male,3,own,little,moderate,1209,6,car,bad
389,27,female,2,own,little,,1449,9,business,good
438,65,male,0,own,little,little,3394,42,repairs,good
566,36,male,2,own,little,little,1372,12,car,bad
169,31,male,2,own,little,moderate,1935,24,business,bad
744,30,male,3,own,,little,14179,39,furniture/equipment,good
293,56,male,2,free,little,rich,4796,42,car,good
950,40,male,0,own,little,moderate,3590,18,business,good
134,21,female,2,own,moderate,,10144,60,radio/TV,good
874,29,male,1,own,little,little,3590,12,furniture/equipment,good
323,28,male,2,own,rich,little,2659,18,furniture/equipment,good
421,30,male,2,own,,moderate,2028,12,car,good
878,27,male,3,free,little,little,1422,9,car,bad
387,40,male,3,own,little,moderate,7374,18,furniture/equipment,good
31,27,male,2,own,little,little,4020,24,furniture/equipment,good
624,65,male,2,free,little,little,2600,18,radio/TV,bad
37,37,male,2,own,little,rich,2100,18,radio/TV,bad
876,36,male,3,free,little,little,1940,18,radio/TV,good
968,29,male,2,rent,,,7166,42,radio/TV,good
718,31,male,2,own,,rich,3148,24,radio/TV,good
728,59,female,2,rent,little,moderate,6416,48,business,bad
855,33,male,2,own,moderate,,1474,24,car,good
290,26,male,2,own,little,,1076,12,business,good
298,43,male,2,own,little,,2515,18,furniture/equipment,good
594,40,male,3,own,,little,1358,24,vacation/others,bad
225,27,male,2,own,little,,2613,36,repairs,good
857,28,male,2,free,little,,3343,15,furniture/equipment,good
66,29,female,2,own,little,,2171,12,radio/TV,good
745,28,male,1,own,little,little,1797,13,business,good
508,28,male,2,own,little,,1413,24,radio/TV,good
284,37,male,2,own,moderate,moderate,3878,24,car,good
939,46,male,3,own,,,6842,24,car,good
799,35,male,0,own,,moderate,1549,9,car,good
675,26,female,3,rent,little,,4530,30,radio/TV,good
322,34,male,3,free,little,little,2910,24,car,good
574,27,male,1,own,little,moderate,1082,9,radio/TV,good
413,40,male,1,rent,quite rich,,1597,10,car,good
826,33,female,2,rent,little,little,3966,18,car,bad
165,32,male,2,own,quite rich,,2978,6,furniture/equipment,good
659,41,male,2,own,little,moderate,6361,18,furniture/equipment,good
377,36,male,2,free,,,846,7,radio/TV,good
198,36,male,2,free,,moderate,2760,24,car,good
482,57,female,2,rent,rich,little,3622,30,furniture/equipment,good
288,49,female,2,own,little,moderate,1092,12,radio/TV,good
5,35,male,1,free,,,9055,36,education,good
723,66,female,1,own,quite rich,moderate,790,9,radio/TV,good
731,21,male,1,rent,little,little,1987,24,radio/TV,bad
216,31,male,2,own,little,little,3104,18,business,good
456,36,male,2,rent,little,little,3905,11,car,good
308,24,female,2,own,little,moderate,1237,8,furniture/equipment,bad
318,32,male,2,own,little,,701,12,education,good
1,22,female,2,own,little,moderate,5951,48,radio/TV,bad
71,46,male,1,rent,,,730,7,radio/TV,good
152,24,male,2,own,little,rich,5848,36,radio/TV,good
292,44,female,3,free,little,little,6419,24,car,good
368,42,male,2,own,little,little,3446,36,furniture/equipment,bad
810,26,male,2,own,little,moderate,907,8,business,good
380,39,male,2,own,,little,2212,20,furniture/equipment,good
998,23,male,2,free,little,little,1845,45,radio/TV,bad
654,35,male,2,own,little,,2346,24,car,good
617,37,male,2,rent,little,little,3676,6,car,good
487,62,female,2,free,little,,3757,24,car,good
419,33,female,2,own,,moderate,1042,18,car,bad
459,32,male,2,own,little,,4594,18,radio/TV,good
996,40,male,3,own,little,little,3857,30,car,good
808,55,male,3,free,little,moderate,9283,42,car,good
2,49,male,1,own,little,,2096,12,education,good
242,24,male,2,free,little,little,4605,48,car,bad
912,25,female,2,own,,moderate,2991,30,radio/TV,good
598,31,male,2,own,little,,2775,18,car,bad
53,31,male,2,own,,,3378,18,car,good
836,21,female,2,own,,,886,12,radio/TV,good
805,24,male,2,own,little,little,9271,36,car,bad
282,49,male,1,own,,rich,1445,18,radio/TV,good
143,22,male,2,own,little,little,2462,18,furniture/equipment,bad
116,30,female,3,own,,little,7174,42,radio/TV,bad
405,22,male,2,own,little,moderate,2039,24,radio/TV,bad
381,38,female,3,free,little,moderate,12976,18,car,bad
86,27,female,2,own,little,moderate,1295,18,furniture/equipment,good
224,30,male,2,own,little,,4657,15,car,good
581,49,male,1,own,little,moderate,3124,12,car,good
48,39,male,1,own,little,,7228,11,car,good
100,41,male,1,rent,moderate,,1469,24,car,good
787,38,male,2,own,,,2751,48,car,good
611,48,female,1,free,moderate,rich,1240,10,car,bad
621,32,male,2,own,little,,1530,18,car,bad
468,26,female,2,own,little,,2764,33,business,good
119,36,male,3,own,quite rich,moderate,2366,12,car,good
952,28,female,2,rent,quite rich,moderate,4113,24,car,bad
192,36,male,2,own,little,moderate,3915,27,business,bad
726,47,male,1,own,quite rich,,1316,15,radio/TV,good
873,24,female,2,own,,,874,15,domestic appliances,good
904,36,male,3,own,little,,1278,24,radio/TV,good
315,31,male,2,own,little,little,2746,36,furniture/equipment,bad
973,36,male,2,rent,little,little,7297,60,business,bad
715,63,male,2,own,,,7596,30,car,good
606,74,male,3,own,little,,4526,24,business,good
357,26,male,3,own,little,,4463,36,radio/TV,bad
595,32,female,1,own,moderate,moderate,931,6,car,bad
305,33,male,2,own,rich,,1543,6,furniture/equipment,good
657,37,male,2,own,,,10222,48,radio/TV,good
632,23,male,2,own,,moderate,1444,15,radio/TV,good
859,26,male,2,rent,moderate,,3577,9,car,good
531,28,female,2,rent,moderate,moderate,2631,15,car,bad
221,23,female,2,rent,,little,1200,12,education,good
174,26,male,2,own,little,little,3414,21,education,bad
692,29,male,2,own,moderate,moderate,2896,24,radio/TV,good
289,48,male,2,own,little,little,1024,24,radio/TV,bad
890,43,male,3,own,little,little,2442,27,business,good
820,27,male,2,own,little,,1101,12,car,good
673,24,male,2,own,quite rich,,2080,6,car,good
345,43,female,1,own,little,,1459,15,radio/TV,good
478,39,male,1,own,moderate,moderate,1037,12,business,good
536,75,female,3,own,,little,1374,6,car,good
61,50,male,2,own,,moderate,1537,15,radio/TV,good
883,65,female,0,own,little,,1098,18,radio/TV,good
511,32,male,3,free,little,,4686,36,car,good
354,46,male,2,free,quite rich,,727,10,education,good
733,28,female,2,rent,rich,,2603,24,car,good
918,33,male,2,own,moderate,little,2359,24,furniture/equipment,bad
795,22,female,2,rent,moderate,,2301,9,furniture/equipment,good
285,35,female,1,own,little,little,10722,47,car,good
970,22,male,2,own,moderate,moderate,1514,15,repairs,good
93,20,male,2,rent,,rich,3617,24,furniture/equipment,good
203,21,male,2,rent,little,little,902,12,education,bad
794,32,male,2,rent,quite rich,,3062,24,furniture/equipment,good
721,24,female,2,rent,rich,moderate,433,6,education,bad
761,24,female,2,rent,little,little,2124,18,furniture/equipment,bad
730,33,male,2,own,little,moderate,6403,24,radio/TV,good
103,35,male,2,rent,little,moderate,1919,9,furniture/equipment,good
815,54,female,2,rent,little,moderate,7432,36,car,good
39,24,male,2,own,little,moderate,458,9,radio/TV,good
671,31,male,2,own,moderate,,5742,36,business,good
570,23,female,1,rent,little,little,3234,24,furniture/equipment,bad
954,29,female,2,own,little,little,1893,12,car,good
783,23,female,1,own,moderate,moderate,836,12,car,bad
154,36,male,3,rent,moderate,moderate,6967,24,business,good
752,23,female,1,rent,moderate,moderate,841,12,business,good
884,43,male,2,own,little,moderate,4057,24,furniture/equipment,bad
646,32,male,2,own,little,little,4583,30,furniture/equipment,good
609,45,male,2,free,,,1300,15,car,good
476,24,male,2,own,quite rich,,2569,39,car,good
699,40,male,3,rent,little,rich,1905,15,education,good
832,29,male,2,rent,little,little,11816,45,business,bad
149,46,male,2,own,rich,,1582,18,radio/TV,good
945,30,female,2,own,quite rich,moderate,8358,48,car,good
153,29,female,2,rent,rich,moderate,7758,24,car,good
553,27,male,2,own,moderate,moderate,1995,12,car,good
643,33,male,2,own,little,,1851,24,radio/TV,good
605,22,male,2,own,quite rich,little,2828,24,furniture/equipment,good
488,35,male,1,rent,moderate,,1418,10,car,good
257,29,male,2,free,little,little,2149,12,radio/TV,bad
848,59,male,2,own,little,little,1364,9,radio/TV,good
906,24,male,1,own,,little,3763,21,car,good
306,24,female,1,rent,,,4811,30,car,good
126,40,male,1,own,little,little,701,12,radio/TV,good
189,33,female,2,own,little,moderate,3244,18,furniture/equipment,good
797,22,female,1,rent,little,,1258,12,furniture/equipment,good
540,23,male,2,rent,little,moderate,1534,12,radio/TV,bad
325,39,male,1,own,little,little,3398,8,car,good
580,30,male,2,own,little,moderate,1056,18,car,bad
4,53,male,2,free,little,little,4870,24,car,bad
550,23,female,2,own,,,996,12,repairs,good
932,30,male,2,own,little,,1224,9,car,good
590,58,female,1,own,little,little,385,12,radio/TV,good
265,37,male,2,own,little,moderate,802,15,radio/TV,bad
582,26,female,2,rent,little,,1388,9,furniture/equipment,good
390,30,male,3,own,little,,1820,18,car,good
867,42,male,2,own,little,,3331,12,furniture/equipment,good
660,23,male,2,rent,little,rich,1297,12,radio/TV,good
136,27,male,2,own,rich,,8613,27,car,good
49,28,female,2,own,moderate,,2073,12,radio/TV,good
372,23,female,2,rent,little,,2146,10,furniture/equipment,good
461,36,male,2,own,little,little,1721,15,car,good
304,44,male,2,free,quite rich,,10127,48,car,bad
634,25,female,1,own,little,moderate,1355,24,car,bad
575,24,female,2,own,little,,2788,15,furniture/equipment,good
842,23,female,2,own,little,,1943,18,repairs,bad
870,40,female,2,own,quite rich,,7678,36,furniture/equipment,good
106,39,male,3,own,little,,6458,18,car,bad
749,33,male,2,own,little,,3029,15,car,good
464,34,male,2,own,little,,1950,18,business,good
228,22,male,2,own,little,,1478,9,radio/TV,bad
909,33,female,1,own,,moderate,3195,9,car,good
7,35,male,3,rent,little,moderate,6948,36,car,good
